poi_id,slug,name,state,county,themes,theme_count,primary_theme,theme_family,lat,lng,geocode_confidence,geocode_source,geocode_query
42203860748253499,emerald-beach-resort-bay,Emerald Beach Resort,FL,Bay,city-escapes|family-friendly|natural-wonder|outdoor-adventure,4,city-escapes,urban,,,,,
42203860756737178,surfside-resort-walton,Surfside RESORT,FL,Walton,,0,unclassified,none,,,,,
42203860756754526,lucaya-village-resort-osceola,Lucaya Village Resort,FL,Osceola,,0,unclassified,none,,,,,
42203860756788472,crystal-villa-osceola,Crystal Villa,FL,Osceola,,0,unclassified,none,,,,,
42203860756986031,needle-rush-point-b32-escambia,Needle Rush Point B32,FL,Escambia,,0,unclassified,none,,,,,
42203860757025477,gale-miami-hotel-and-residences-miami-dade,Gale Miami Hotel and Residences,FL,Miami-Dade,business-travel|family-friendly|outdoor-adventure,3,business-travel,urban,,,,,
42203860757065236,disney-s-all-star-movies-resort-osceola,Disney's ALL-STAR MOVIES Resort,FL,Osceola,,0,unclassified,none,,,,,
42203860757154003,navarre-beach-landing-santa-rosa,Navarre Beach Landing,FL,Santa Rosa,,0,unclassified,none,,,,,
42203860757226916,blue-flamingo-resort-key-west-monroe,Blue Flamingo Resort Key West,FL,Monroe,city-escapes|outdoor-adventure|family-friendly|natural-wonder|food-wine,5,city-escapes,urban,,,,,
42203860757674770,pelican-beach-resort-destin-condo-getaways-by-cls-okaloosa,Pelican Beach Resort - Destin Condo Getaways by CLs,FL,Okaloosa,outdoor-adventure|natural-wonder|family-friendly,3,outdoor-adventure,outdoors,,,,,
42203860757677916,blue-waters-santa-rosa,Blue Waters,FL,Santa Rosa,,0,unclassified,none,,,,,
42203860757734685,miami-beach-oceanfront-miami-dade,Miami Beach Oceanfront,FL,Miami-Dade,,0,unclassified,none,,,,,
42203860757762253,kompose-boutique-resort-at-theme-parks-osceola,Kompose Boutique Resort at Theme Parks,FL,Osceola,outdoor-adventure|city-escapes|national-park|family-friendly|food-wine|roadside-motels,6,outdoor-adventure,outdoors,,,,,
42203860757835420,sundestin-beach-resort-okaloosa-2,SunDestin Beach Resort,FL,Okaloosa,,0,unclassified,none,,,,,
42203860757941483,palms-of-destin-resort-condo-okaloosa,Palms of Destin Resort Condo,FL,Okaloosa,city-escapes|national-park|outdoor-adventure|natural-wonder|family-friendly,5,city-escapes,urban,,,,,
42203860758087358,regency-towers-panama-city-beach-florida-bay,"Regency Towers Panama City Beach, Florida",FL,Bay,outdoor-adventure|family-friendly,2,outdoor-adventure,outdoors,,,,,
42203860777305416,luxury-miami-waterfront-retreat-with-private-dock-miami-dade,Luxury Miami Waterfront Retreat with Private Dock,FL,Miami-Dade,,0,unclassified,none,,,,,
42203860908849955,wesley-chapel-hidden-gem-pasco,Wesley Chapel Hidden Gem,FL,Pasco,,0,unclassified,none,,,,,
42203860917671545,global-luxury-suites-at-monte-carlo-miami-dade,Global Luxury Suites at Monte Carlo,FL,Miami-Dade,outdoor-adventure|natural-wonder|city-escapes|family-friendly,4,outdoor-adventure,outdoors,,,,,
42203860960585268,the-fountains-international-dr-orange,The Fountains International Dr,FL,Orange,,0,unclassified,none,,,,,
42203860966216235,epic-treehouse-villa-pool-jacuzzi-pickleball-miami-dade,Epic Treehouse Villa - Pool - Jacuzzi - Pickleball,FL,Miami-Dade,,0,unclassified,none,,,,,
42203860977952589,casa-dior-miami-dade,Casa DIOR,FL,Miami-Dade,,0,unclassified,none,,,,,
42203860978768334,mother-ocean-monroe,Mother Ocean,FL,Monroe,,0,unclassified,none,,,,,
42203860979244545,seralago-hotel-suites-w-irlo-bronson-memorial-hwy-osceola,SERALAGO HOTEL & SUITES W Irlo Bronson Memorial Hwy,FL,Osceola,,0,unclassified,none,,,,,
42203861076882088,paradise-palms-resort-6-bedroom-home-with-game-room-6-home-osceola,Paradise Palms Resort 6 Bedroom Home with Game Room 6 Home,FL,Osceola,,0,unclassified,none,,,,,
42203861083143893,liberty-park-hotel-south-beach-miami-dade,LIBERTY PARK HOTEL SOUTH BEACH,FL,Miami-Dade,,0,unclassified,none,,,,,
42203861093814870,501-first-modern-studio-downtown-miami-miami-dade,501 First Modern Studio Downtown Miami,FL,Miami-Dade,,0,unclassified,none,,,,,
42203861110489139,orlando-resort-rentals-at-universal-boulevard-orange,Orlando Resort Rentals at Universal Boulevard,FL,Orange,,0,unclassified,none,,,,,
42203861113771957,regal-palms-resort-spa-polk,Regal Palms Resort & Spa,FL,Polk,,0,unclassified,none,,,,,
